file_stem,n_faces,face_any_disagree,face_label_disagree,face_label_err_rate,face_any_err_rate,n_edges,edge_any_disagree,edge_any_err_rate
00099977,28,0,0,0.0,0.0,154,6,0.03896103896103896
00099978,33,1,1,0.030303030303030304,0.030303030303030304,168,4,0.023809523809523808
00099979,14,0,0,0.0,0.0,70,4,0.05714285714285714
00099980,41,4,2,0.04878048780487805,0.0975609756097561,232,48,0.20689655172413793
00099981,29,0,0,0.0,0.0,154,8,0.05194805194805195
00099982,42,4,0,0.0,0.09523809523809523,212,6,0.02830188679245283
00099983,18,0,0,0.0,0.0,90,11,0.12222222222222222
00099984,53,2,0,0.0,0.03773584905660377,292,54,0.18493150684931506
00099985,36,2,2,0.05555555555555555,0.05555555555555555,196,34,0.17346938775510204
00099986,38,0,0,0.0,0.0,190,0,0.0
00099987,58,7,3,0.05172413793103448,0.1206896551724138,298,14,0.04697986577181208
00099988,20,0,0,0.0,0.0,88,16,0.18181818181818182
00099989,23,3,2,0.08695652173913043,0.13043478260869565,106,38,0.3584905660377358
00099990,24,1,1,0.041666666666666664,0.041666666666666664,124,5,0.04032258064516129
00099991,34,1,1,0.029411764705882353,0.029411764705882353,180,2,0.011111111111111112
00099992,18,0,0,0.0,0.0,86,6,0.06976744186046512
00099993,18,0,0,0.0,0.0,60,0,0.0
00099994,31,1,0,0.0,0.03225806451612903,168,20,0.11904761904761904
00099995,26,0,0,0.0,0.0,122,16,0.13114754098360656
00099996,41,0,0,0.0,0.0,216,10,0.046296296296296294
00099997,13,0,0,0.0,0.0,66,6,0.09090909090909091
00099998,30,2,2,0.06666666666666667,0.06666666666666667,160,24,0.15
00099999,22,0,0,0.0,0.0,112,16,0.14285714285714285
